ID_VENTE;CD_PRODUIT;DT_VENTE;ID_CLIENT;QTE_VENTE;PRIX_ACHAT;PRIX_VENTE;;;;
TZ-2015-TT11220129-42252;OFF-AP-4960;21/04/2023;TT-11220129;10,00;210.948;263.685;;;;
MX-2014-LH1702093-41994;OFF-AP-4742;11/10/2020;LH-1702093;1,00;181.728;227.16;;;;
MX-2012-AH1019539-40925;TEC-CO-4574;03/09/2021;AH-1019539;3,00;46.2888;57.861;;;;
IN-2014-BN1147027-41896;TEC-CO-4775;05/12/2023;BN-1147027;1,00;71.5536;89.442;;;;
SA-2015-KH6630110-42043;TEC-CO-3708;26/07/2020;KH-6630110;4,00;151.32;189.15;;;;
ID-2015-AA1064559-42332;TEC-CO-5996;05/05/2024;AA-1064559;9,00;53.77216;67.2152;;;;
ES-2012-JL1513045-41146;FUR-CH-5379;20/10/2021;JL-1513045;5,00;219.816;274.77;;;;
US-2015-MZ1733582-42147;FUR-BO-5770;25/02/2020;MZ-1733582;10,00;78.4212;98.0265;;;;
ZA-2013-KM6375146-41478;TEC-CO-5998;19/08/2020;KM-6375146;9,00;141.7392;177.174;;;;
IN-2012-MV17485113-41213;TEC-AC-5225;22/04/2024;MV-17485113;8,00;105.6896;132.112;;;;
IN-2014-AF108857-41684;TEC-PH-5846;21/05/2022;AF-108857;3,00;49.296;61.62;;;;
CA-2015-AG10330140-42357;OFF-AR-5287;09/06/2020;AG-103301408;10,00;1.408;1.76;;;;
IN-2014-KT16465113-41958;TEC-CO-4766;03/12/2020;KT-16465113;9,00;175.4568;219.321;;;;
ES-2014-EM1382545-41684;TEC-PH-3148;10/04/2021;EM-1382545;3,00;152.6904;190.863;;;;
IN-2015-ME1732027-42340;TEC-MA-6137;21/03/2024;ME-1732027;7,00;51.408;64.26;;;;
ES-2013-JM1586545-41312;TEC-PH-3787;04/09/2023;JM-1586545;5,00;87.3936;109.242;;;;
MX-2013-MM1792082-41388;FUR-CH-4563;09/06/2020;MM-1792082;6,00;108.072;135.09;;;;
CA-2015-AG10330140-42361;OFF-PA-6485;19/07/2024;AG-103301404;8,00;5.184;6.48;;;;
US-2014-JR1567054-41807;FUR-BO-5788;06/02/2024;JR-1567054;2,00;202.6908;253.3635;;;;
ES-2012-EH1418548-41135;FUR-CH-4702;01/05/2020;EH-1418548;3,00;38.6928;48.366;;;;
ES-2014-MS17365139-41971;FUR-CH-5406;30/05/2023;MS-17365139;7,00;18.0736;22.592;;;;
RO-2014-KW6570107-41800;FUR-BO-4850;17/09/2024;KW-6570107;7,00;132.192;165.24;;;;
IZ-2015-DB306061-42089;OFF-ST-5703;27/11/2023;DB-306061;9,00;67.4208;84.276;;;;
IN-2015-EM1414011-42021;TEC-CO-6011;01/03/2020;EM-1414011;3,00;184.1424;230.178;;;;
CA-2015-AG10330140-42349;OFF-PA-6589;06/12/2023;AG-103301404;2,00;4.1472;5.184;;;;
IN-2013-EH141857-41425;FUR-CH-4531;12/03/2021;EH-141857;7,00;113.6664;142.083;;;;
IN-2013-MW182357-41627;TEC-PH-3148;22/06/2023;MW-182357;6,00;152.6904;190.863;;;;
ES-2014-DL1349545-41948;FUR-CH-5441;31/03/2020;DL-1349545;7,00;112.7808;140.976;;;;
ES-2015-FA1423048-42115;TEC-PH-3806;23/05/2022;FA-1423048;7,00;208.8576;261.072;;;;
ES-2013-JF1556548-41306;TEC-AC-5895;02/12/2022;JF-1556548;3,00;101.664;127.08;;;;
IN-2015-KE1642066-42174;FUR-CH-5411;30/08/2024;KE-1642066;3,00;53.424;66.78;;;;
CA-2015-AG10330140-42361;OFF-BI-3732;25/07/2024;AG-103301404;10,00;1.5192;1.899;;;;
ES-2014-KW16435139-41641;FUR-BO-5961;06/05/2023;KW-16435139;7,00;62.6976;78.372;;;;
KE-2015-LO717069-42365;TEC-PH-3806;10/10/2022;LO-717069;1,00;208.8576;261.072;;;;
MX-2015-GM1444037-42265;TEC-CO-3588;13/02/2022;GM-1444037;9,00;55.675424;69.59428;;;;
IT-2012-DL1331591-41137;FUR-BO-3891;19/04/2022;DL-1331591;5,00;131.8752;164.844;;;;
MX-2013-AP1072018-41482;FUR-CH-4654;21/01/2024;AP-1072018;6,00;145.5072;181.884;;;;
RS-2015-KB6315108-42033;OFF-ST-4106;16/08/2022;KB-6315108;4,00;11.628;14.535;;;;
ES-2015-KB1640545-42122;TEC-CO-4767;22/02/2020;KB-1640545;2,00;77.8656;97.332;;;;
US-2012-AR10345140-41272;FUR-TA-4622;06/01/2020;AR-103451406;7,00;116.392;145.49;;;;
IN-2015-JM1526511-42289;TEC-PH-3148;29/07/2024;JM-1526511;8,00;152.6904;190.863;;;;
IN-2012-BS117557-41109;FUR-BO-3641;16/01/2021;BS-117557;10,00;263.2824;329.103;;;;
ES-2014-EL13735139-41987;TEC-AC-3385;28/11/2024;EL-13735139;1,00;43.568;54.46;;;;
MX-2014-DV1304582-41866;FUR-BO-4849;30/06/2022;DV-1304582;6,00;265.1328;331.416;;;;
US-2012-AR10345140-41272;TEC-PH-3827;19/12/2022;AR-103451406;4,00;44.7936;55.992;;;;
ES-2012-JF1556564-41075;OFF-AP-4500;11/01/2024;JF-1556564;5,00;202.068;252.585;;;;
ES-2014-JK1609064-41800;TEC-CO-3687;21/12/2023;JK-1609064;5,00;76.3272;95.409;;;;
IN-2013-MY1738092-41583;TEC-CO-3601;03/04/2022;MY-1738092;10,00;46.4048;58.006;;;;
CA-2013-AR10345140-41527;FUR-CH-4399;01/04/2020;AR-103451402;5,00;185.0256;231.282;;;;
CA-2015-AR10345140-42256;TEC-AC-5198;19/10/2022;AR-103451402;7,00;14.2;17.75;;;;
IN-2014-RB194657-41898;OFF-AP-4725;18/02/2020;RB-194657;5,00;45.5124;56.8905;;;;
IN-2015-CA1231011-42172;TEC-MA-5016;03/05/2021;CA-1231011;9,00;63.9;79.875;;;;
MX-2014-ML1741082-41959;OFF-ST-5702;13/05/2022;ML-1741082;5,00;67.728;84.66;;;;
CA-2015-AR10345140-42258;OFF-AR-4010;19/02/2021;AR-103451406;6,00;4.7616;5.952;;;;
US-2013-AM10360140-41356;TEC-AC-5109;04/01/2022;AM-103601404;1,00;51.1936;63.992;;;;
ES-2013-HF1499545-41517;TEC-CO-3599;27/06/2020;HF-1499545;3,00;63.303744;79.12968;;;;
ID-2015-MP17965144-42008;FUR-CH-5379;09/01/2022;MP-17965144;3,00;219.816;274.77;;;;
IN-2013-CS1217558-41374;FUR-CH-5373;15/10/2023;CS-1217558;5,00;18.7488;23.436;;;;
ES-2013-JJ1544514-41600;FUR-CH-4701;21/01/2022;JJ-1544514;8,00;39.8736;49.842;;;;
MX-2015-JF1556518-42368;FUR-BO-5786;24/10/2024;JF-1556518;1,00;209.232;261.54;;;;
IN-2014-FW1439559-41836;OFF-AP-4966;03/09/2022;FW-1439559;1,00;182.688;228.36;;;;
US-2013-AM10360140-41356;OFF-PA-6307;26/10/2024;AM-103601404;3,00;11.2128;14.016;;;;
ID-2013-DL133307-41626;FUR-BO-4853;17/04/2023;DL-133307;5,00;100.464;125.58;;;;
ES-2015-MF1825045-42249;FUR-BO-5785;10/07/2021;MF-1825045;2,00;93.42;116.775;;;;
CA-2015-AM10360140-42153;FUR-BO-3652;29/01/2023;AM-103601406;3,00;39.4264;49.283;;;;
ES-2015-RA1991564-42245;FUR-BO-3635;27/02/2022;RA-1991564;1,00;74.1504;92.688;;;;
ID-2012-RF1934527-41062;FUR-BO-5941;13/02/2020;RF-1934527;1,00;72.192;90.24;;;;
CA-2015-AM10360140-42341;OFF-AP-4242;04/11/2020;AM-103601404;8,00;16.9536;21.192;;;;
GH-2015-TT1107049-42332;TEC-AC-4186;29/05/2024;TT-1107049;6,00;54.6432;68.304;;;;
CG-2014-MG768033-41681;TEC-CO-3597;15/06/2021;MG-768033;6,00;235.65456;294.5682;;;;
CA-2012-AM10360140-41187;OFF-BI-4376;02/07/2021;AM-103601402;7,00;1.2288;1.536;;;;
CA-2015-AM10360140-42341;OFF-BI-5939;30/07/2020;AM-103601404;2,00;10.4184;13.023;;;;
CA-2014-AM10360140-41837;OFF-ST-5595;30/03/2024;AM-103601402;8,00;12.408;15.51;;;;
IN-2014-JE1571527-41640;FUR-BO-5959;02/01/2024;JE-1571527;10,00;93.1392;116.424;;;;
ID-2015-SG2089059-42217;TEC-PH-3807;24/01/2022;SG-2089059;2,00;157.0176;196.272;;;;
ES-2012-CA12265139-41178;TEC-CO-3609;01/03/2021;CA-12265139;7,00;151.38;189.225;;;;
CA-2015-AM10360140-42153;OFF-PA-4782;21/08/2023;AM-103601406;2,00;4.624;5.78;;;;
ES-2012-MG1787514-41243;TEC-AC-3403;01/06/2024;MG-1787514;10,00;102.624;128.28;;;;
IN-2015-CD1192059-42326;TEC-CO-4590;10/04/2024;CD-1192059;9,00;122.1216;152.652;;;;
IN-2012-ES1408027-40941;FUR-BO-5798;14/11/2022;ES-1408027;3,00;36.36;45.45;;;;
MX-2012-LP1709528-41002;FUR-CH-4682;18/08/2020;LP-1709528;10,00;74.86296;93.5787;;;;
ID-2014-FC143357-41817;TEC-MA-5512;13/02/2020;FC-143357;8,00;64.0584;80.073;;;;
IN-2012-LR1703558-41195;TEC-MA-5548;16/03/2022;LR-1703558;5,00;165.6;207;;;;
IN-2013-SW2024558-41425;TEC-PH-5827;25/11/2022;SW-2024558;7,00;17.568;21.96;;;;
IN-2012-DG1330027-41133;FUR-TA-3418;03/02/2024;DG-1330027;7,00;158.7168;198.396;;;;
MX-2015-MA1756037-42266;TEC-CO-4766;20/01/2021;MA-1756037;9,00;175.4568;219.321;;;;
ID-2012-TS21160102-41207;FUR-CH-5442;05/03/2020;TS-21160102;3,00;272.97912;341.2239;;;;
IN-2014-BF1100527-41913;FUR-CH-5795;03/09/2024;BF-1100527;2,00;86.3424;107.928;;;;
IN-2013-JM1558027-41475;TEC-PH-5350;08/01/2020;JM-1558027;2,00;44.592;55.74;;;;
UP-2014-MD7860137-41810;FUR-CH-4530;01/08/2021;MD-7860137;3,00;113.0832;141.354;;;;
IN-2015-DV1304558-42329;OFF-ST-6263;25/07/2024;DV-1304558;4,00;49.0032;61.254;;;;
SA-2015-RE9450110-42168;TEC-PH-5267;31/08/2023;RE-9450110;8,00;437.0904;546.363;;;;
CA-2015-AM10360140-42341;OFF-PA-6415;10/04/2021;AM-103601404;1,00;3.4752;4.344;;;;
IN-2015-ME1732027-42364;TEC-MA-5007;21/07/2024;ME-1732027;2,00;206.23176;257.7897;;;;
CA-2014-AM10360140-41837;OFF-PA-6082;26/02/2020;AM-103601402;2,00;6.672;8.34;;;;
ES-2015-JB15400139-42116;FUR-BO-3635;28/08/2020;JB-15400139;5,00;74.1504;92.688;;;;
ES-2014-JC1534045-41803;OFF-AP-4501;17/06/2023;JC-1534045;3,00;159.8592;199.824;;;;
IT-2012-EM1396062-41265;TEC-AC-5894;16/05/2023;EM-1396062;1,00;61.524;76.905;;;;
IN-2012-MH1778559-41221;OFF-ST-6261;15/04/2024;MH-1778559;7,00;97.992;122.49;;;;
IN-2015-RF1984058-42273;FUR-CH-5413;01/07/2020;RF-1984058;4,00;70.1696;87.712;;;;
ES-2015-CV12805139-42251;TEC-PH-5340;06/01/2020;CV-12805139;1,00;49.4016;61.752;;;;
US-2013-AR1034518-41601;FUR-BO-5786;03/06/2022;AR-1034518;4,00;209.232;261.54;;;;
MX-2012-RD1993051-41237;FUR-BO-5761;31/10/2023;RD-1993051;6,00;222.09768;277.6221;;;;
CA-2015-AM10360140-42341;OFF-FA-6129;28/10/2020;AM-103601404;1,00;16.8832;21.104;;;;
IT-2015-KC16675139-42263;OFF-ST-4079;16/05/2020;KC-16675139;3,00;47.6136;59.517;;;;
IN-2014-PG1882027-41649;TEC-CO-5995;20/08/2024;PG-1882027;9,00;53.19808;66.4976;;;;
IN-2015-HD1478527-42240;TEC-CO-4568;27/06/2023;HD-1478527;4,00;83.519072;104.39884;;;;
IT-2014-VD21670139-41999;OFF-ST-5693;02/03/2021;VD-21670139;1,00;34.0992;42.624;;;;
IN-2014-VW2177527-41836;TEC-PH-5844;21/04/2024;VW-2177527;1,00;39.8496;49.812;;;;
MX-2013-DO1364512-41461;TEC-CO-3684;19/11/2020;DO-1364512;2,00;98.5608;123.201;;;;
CA-2015-AM10360140-42341;OFF-AR-5633;26/05/2021;AM-103601404;2,00;1.344;1.68;;;;
CA-2014-AA10375140-41958;TEC-AC-5098;08/07/2024;AA-103751408;8,00;199.992;249.99;;;;
CG-2013-SC1030533-41538;TEC-CO-3688;14/09/2023;SC-1030533;1,00;88.6452;110.8065;;;;
CA-2013-AA10375140-41307;TEC-AC-4938;10/01/2021;AA-103751402;1,00;31.9936;39.992;;;;
ES-2012-BT1148545-41177;OFF-AP-3865;27/12/2021;BT-1148545;10,00;89.1072;111.384;;;;
CA-2013-AA10375140-41307;FUR-FU-3836;22/10/2024;AA-103751402;4,00;11.36;14.2;;;;
ES-2015-VP21760139-42280;OFF-AP-4967;18/07/2021;VP-21760139;8,00;136.3896;170.487;;;;
CA-2015-AA10375140-42350;TEC-PH-3965;05/08/2022;AA-103751406;10,00;37.4336;46.792;;;;
CA-2013-AA10375140-41591;OFF-ST-5628;05/01/2023;AA-103751408;2,00;11.328;14.16;;;;
SG-2012-EB3975111-41107;OFF-ST-4266;31/03/2023;EB-3975111;1,00;91.2252;114.0315;;;;
US-2015-AA10375140-42255;OFF-PA-6461;25/08/2020;AA-103751406;4,00;12.7872;15.984;;;;
US-2015-AA10375140-42255;OFF-PA-3328;13/09/2021;AA-103751406;6,00;2.1632;2.704;;;;
MX-2012-JW1607582-40989;TEC-PH-5355;08/05/2023;JW-1607582;1,00;305.928;382.41;;;;
IN-2013-FG1426058-41509;TEC-CO-4593;27/11/2024;FG-1426058;2,00;91.2456;114.057;;;;
CA-2013-AA37523-41544;OFF-BI-3737;17/04/2021;AA-37523;9,00;1.4336;1.792;;;;
IN-2013-TS212057-41495;FUR-CH-5776;09/10/2023;TS-212057;8,00;148.3776;185.472;;;;
NI-2014-NS850595-41699;OFF-AP-4508;27/04/2021;NS-850595;10,00;389.1456;486.432;;;;
ID-2015-TT2146059-42185;TEC-CO-3678;10/08/2021;TT-2146059;6,00;84.064448;105.08056;;;;
IN-2013-SF2006527-41494;TEC-CO-4577;10/11/2020;SF-2006527;5,00;135.391872;169.23984;;;;
IN-2015-MM1792058-42325;OFF-AR-3525;01/03/2023;MM-1792058;1,00;12.8736;16.092;;;;
ES-2012-LT1711048-41248;TEC-PH-3147;24/03/2022;LT-1711048;2,00;178.164;222.705;;;;
ES-2013-RA19285120-41335;TEC-CO-3685;22/04/2022;RA-19285120;4,00;137.7648;172.206;;;;
IN-2013-JH1543092-41466;TEC-MA-5507;24/06/2022;JH-1543092;1,00;40.32;50.4;;;;
US-2015-NF1859582-42145;FUR-TA-3430;22/08/2022;NF-1859582;6,00;249.4368;311.796;;;;
MX-2015-CL1270018-42348;FUR-BO-4857;12/04/2023;CL-1270018;4,00;55.3152;69.144;;;;
ID-2014-KM1666059-41815;FUR-TA-3758;23/05/2021;KM-1666059;2,00;213.672;267.09;;;;
CA-2012-AA10375140-41205;OFF-BI-3306;08/10/2020;AA-103751404;5,00;11.424;14.28;;;;
ES-2012-BK1126048-41009;TEC-CO-3679;04/11/2020;BK-1126048;3,00;83.7696;104.712;;;;
CA-2014-AA10375140-41831;OFF-ST-6157;09/06/2021;AA-103751404;5,00;8.384;10.48;;;;
ES-2014-MB1730545-41759;FUR-BO-5799;25/10/2023;MB-1730545;1,00;35.6256;44.532;;;;
ES-2012-RD19585120-41215;OFF-AP-3571;26/09/2022;RD-19585120;7,00;72.4104;90.513;;;;
IN-2013-RD1990027-41598;OFF-ST-6033;30/03/2023;RD-1990027;6,00;30.9312;38.664;;;;
ES-2012-EM13960139-41152;TEC-MA-4199;14/12/2020;EM-13960139;8,00;123.288;154.11;;;;
ID-2015-TC211457-42343;FUR-CH-4701;04/09/2022;TC-211457;8,00;39.8736;49.842;;;;
MO-2013-AR82586-41362;OFF-AP-3874;15/01/2024;AR-82586;2,00;287.488;359.36;;;;
ES-2013-DL128658-41515;TEC-PH-3141;08/12/2021;DL-128658;5,00;31.3776;39.222;;;;
IN-2012-JK160907-41159;FUR-BO-4851;02/09/2021;JK-160907;8,00;131.76;164.7;;;;
ES-2012-TS21370139-40968;FUR-BO-5763;23/05/2022;TS-21370139;7,00;140.208;175.26;;;;
CA-2012-AA10375140-41019;OFF-BI-2938;08/01/2020;AA-103751404;7,00;3.304;4.13;;;;
IN-2012-FM142907-41174;TEC-MA-6142;12/09/2023;FM-142907;4,00;200.37528;250.4691;;;;
MX-2013-PC1874531-41580;FUR-FU-5727;28/05/2020;PC-1874531;8,00;17.5824;21.978;;;;
IN-2014-CR12580144-41871;TEC-PH-3145;18/12/2023;CR-12580144;10,00;43.7568;54.696;;;;
IN-2013-EB1384027-41418;FUR-BO-5966;16/06/2024;EB-1384027;9,00;206.448;258.06;;;;
IN-2014-BK1126011-41940;TEC-PH-3807;26/10/2022;BK-1126011;4,00;157.0176;196.272;;;;
ID-2013-GT1463597-41564;OFF-AP-4507;13/01/2024;GT-1463597;6,00;289.648;362.06;;;;
IN-2015-DB1361558-42333;FUR-CH-5443;03/04/2020;DB-1361558;8,00;150.2976;187.872;;;;
US-2015-RE1940536-42334;TEC-CO-4767;05/11/2020;RE-1940536;2,00;77.8656;97.332;;;;
ES-2015-DK1298548-42319;TEC-PH-3129;20/02/2020;DK-1298548;10,00;40.0752;50.094;;;;
CA-2014-AA10375140-41958;OFF-PA-6598;01/11/2020;AA-103751408;2,00;3.3792;4.224;;;;
IN-2012-TP21130144-41223;OFF-ST-6248;20/09/2022;TP-21130144;10,00;43.0752;53.844;;;;
MX-2013-SD2048531-41569;FUR-TA-3439;14/02/2024;SD-2048531;10,00;257.184;321.48;;;;
RS-2013-GW4605108-41625;TEC-MA-4203;23/07/2024;GW-4605108;10,00;25.4016;31.752;;;;
ES-2013-SP2092048-41510;TEC-PH-5839;27/07/2020;SP-2092048;8,00;204.48;255.6;;;;
SI-2015-SM10005115-42252;FUR-BO-5780;16/09/2021;SM-10005115;9,00;78.696;98.37;;;;
CA-2013-AA10375140-41402;OFF-AR-5299;24/09/2022;AA-103751404;1,00;2.624;3.28;;;;
MX-2015-CT1199528-42022;FUR-CH-4563;17/03/2024;CT-1199528;4,00;108.072;135.09;;;;
UP-2015-JC5775137-42305;OFF-ST-5700;04/10/2021;JC-5775137;2,00;93.1128;116.391;;;;
IN-2015-MS175307-42290;TEC-CO-4773;27/08/2021;MS-175307;8,00;72.3312;90.414;;;;
MX-2014-JH1598551-41816;FUR-TA-4711;15/09/2021;JH-1598551;8,00;85.248;106.56;;;;
ML-2014-ND846079-41866;FUR-CH-5443;09/04/2024;ND-846079;5,00;150.2976;187.872;;;;
CA-2015-AA10375140-42350;OFF-PA-6445;21/03/2021;AA-103751406;9,00;3.8272;4.784;;;;
CA-2014-AA10375140-41958;OFF-BI-2937;09/10/2024;AA-103751408;9,00;0.9912;1.239;;;;
IN-2014-SS2014027-41929;FUR-BO-4866;06/01/2024;SS-2014027;5,00;39.6576;49.572;;;;
MX-2015-KT16465141-42301;FUR-TA-3346;07/08/2022;KT-16465141;9,00;362.832;453.54;;;;
ID-2014-BG1103527-41781;FUR-FU-4065;10/06/2021;BG-1103527;1,00;24.8128;31.016;;;;
IN-2014-CC1214559-41872;TEC-PH-5813;22/03/2022;CC-1214559;8,00;40.3488;50.436;;;;
IN-2015-DO1343558-42141;OFF-AP-3873;20/02/2024;DO-1343558;4,00;258.3792;322.974;;;;
CA-2015-AA10375140-42350;OFF-BI-3823;19/05/2023;AA-103751406;4,00;4.4856;5.607;;;;
ES-2012-BV11245139-41061;OFF-AP-4965;01/09/2023;BV-11245139;1,00;304.08;380.1;;;;
ID-2012-MG1768058-41219;TEC-PH-5248;22/11/2022;MG-1768058;10,00;41.6304;52.038;;;;
CA-2012-AG10390140-41017;OFF-BI-4344;08/09/2021;AG-103901408;5,00;3.096;3.87;;;;
MX-2015-VP2173082-42297;TEC-MA-6147;21/01/2024;VP-2173082;3,00;153.774;192.2175;;;;
UP-2015-DM2955137-42150;FUR-CH-5808;11/09/2022;DM-2955137;9,00;102.114;127.6425;;;;
MX-2013-ON1871582-41627;FUR-BO-3626;23/08/2022;ON-1871582;2,00;99.3672;124.209;;;;
UP-2013-PJ9015137-41353;OFF-ST-6283;29/01/2024;PJ-9015137;7,00;17.3568;21.696;;;;
IN-2012-TP21130144-41223;TEC-AC-5134;03/11/2022;TP-21130144;3,00;39.5712;49.464;;;;
IN-2012-DH1367558-41233;TEC-PH-3806;17/08/2024;DH-1367558;7,00;208.8576;261.072;;;;
IR-2014-JH582060-41811;TEC-PH-5841;10/07/2023;JH-582060;5,00;203.5968;254.496;;;;
IN-2012-GT1471058-41158;TEC-PH-5271;03/12/2020;GT-1471058;10,00;41.9424;52.428;;;;
IT-2015-ME1801045-42222;FUR-TA-3351;21/08/2024;ME-1801045;4,00;200.604;250.755;;;;
IN-2013-BF1117027-41353;FUR-BO-4848;25/01/2022;BF-1117027;1,00;305.94024;382.4253;;;;
IN-2014-EM139607-41895;FUR-BO-5771;02/10/2024;EM-139607;6,00;71.7408;89.676;;;;
ES-2014-LC1714064-41840;FUR-CH-5380;26/01/2021;LC-1714064;9,00;196.352;245.44;;;;
ES-2013-DB1306045-41622;TEC-CO-5996;11/08/2023;DB-1306045;5,00;53.77216;67.2152;;;;
ES-2014-ML1826548-41787;FUR-TA-3441;27/05/2024;ML-1826548;10,00;424.944;531.18;;;;
MX-2013-CR1273082-41447;FUR-TA-5071;30/07/2021;CR-1273082;9,00;75.1392;93.924;;;;
MX-2014-BS1138026-41985;TEC-CO-5991;27/10/2020;BS-1138026;3,00;95.76;119.7;;;;
MX-2015-NG1843018-42298;FUR-FU-6253;11/12/2023;NG-1843018;2,00;61.5888;76.986;;;;
CA-2012-AG10390140-41017;OFF-PA-6597;10/12/2022;AG-103901408;2,00;4.1472;5.184;;;;
IN-2013-AH106907-41636;FUR-CH-5774;18/12/2021;AH-106907;1,00;275.4;344.25;;;;
MX-2013-TS2134082-41566;FUR-CH-4532;02/05/2021;TS-2134082;9,00;152.2752;190.344;;;;
ID-2012-EH14125102-41097;TEC-MA-5548;17/01/2023;EH-14125102;5,00;165.6;207;;;;
IN-2014-EH1376527-41855;FUR-BO-3897;13/04/2021;EH-1376527;2,00;90.032;112.54;;;;
MX-2015-RD1966082-42038;TEC-PH-5358;28/02/2021;RD-1966082;8,00;29.8656;37.332;;;;
MA-2015-CD198077-42363;TEC-CO-3710;03/11/2023;CD-198077;9,00;121.1712;151.464;;;;
AG-2015-CL25653-42164;OFF-AP-4963;04/06/2020;CL-25653;7,00;126.2592;157.824;;;;
MX-2013-JK1609082-41399;FUR-CH-5378;23/04/2024;JK-1609082;1,00;110.5056;138.132;;;;
ID-2013-SC2080059-41380;FUR-TA-3431;21/01/2020;SC-2080059;3,00;220.0576;275.072;;;;
ES-2012-SC2080045-41138;TEC-CO-4569;08/08/2020;SC-2080045;4,00;105.468;131.835;;;;
MX-2014-JK1562526-41962;FUR-CH-4531;05/12/2020;JK-1562526;5,00;113.6664;142.083;;;;
RS-2014-MO7800108-41808;OFF-ST-4268;20/03/2020;MO-7800108;1,00;82.944;103.68;;;;
IT-2014-CA1226545-41798;FUR-TA-3435;26/04/2020;CA-1226545;1,00;142.96008;178.7001;;;;
ID-2014-FM1421559-41651;FUR-TA-3779;10/04/2020;FM-1421559;10,00;76.8144;96.018;;;;
ES-2013-ND18370139-41318;TEC-CO-6006;20/01/2023;ND-18370139;10,00;50.918784;63.64848;;;;
EG-2015-CR258038-42335;FUR-TA-4705;28/07/2022;CR-258038;7,00;174.1428;217.6785;;;;
ES-2015-SM20320139-42190;TEC-PH-5269;30/12/2024;SM-20320139;5,00;180.7512;225.939;;;;
AJ-2012-TC109809-41067;FUR-CH-4654;27/11/2022;TC-109809;4,00;145.5072;181.884;;;;
IN-2014-GM1468027-41849;TEC-PH-5843;10/10/2021;GM-1468027;4,00;40.3488;50.436;;;;
IN-2014-BP112307-41655;TEC-AC-5872;01/03/2022;BP-112307;9,00;53.9568;67.446;;;;
MZ-2014-TT1126587-41742;OFF-AP-3873;25/05/2024;TT-1126587;5,00;258.3792;322.974;;;;
IN-2014-BF110807-41976;OFF-AP-3864;13/10/2024;BF-110807;10,00;59.2832;74.104;;;;
CA-2012-AG10390140-41154;OFF-LA-3236;14/10/2021;AG-103901406;2,00;1.8432;2.304;;;;
ID-2013-JB159257-41527;OFF-AP-4964;29/05/2023;JB-159257;5,00;182.2656;227.832;;;;
IN-2012-SB20290144-41087;OFF-AP-4505;03/12/2022;SB-20290144;4,00;115.5776;144.472;;;;
MX-2013-GD1459082-41506;TEC-CO-3707;02/07/2023;GD-1459082;2,00;91.224;114.03;;;;
UP-2012-RD9900137-40968;TEC-AC-5135;14/02/2022;RD-9900137;3,00;98.052;122.565;;;;
IN-2013-ML1804059-41513;TEC-CO-5996;25/02/2020;ML-1804059;7,00;53.77216;67.2152;;;;
CA-2014-AG10390140-41964;OFF-BI-3308;11/03/2021;AG-103901406;8,00;12.824;16.03;;;;
CA-2014-AG10390140-41964;OFF-PA-6083;24/05/2021;AG-103901406;3,00;5.232;6.54;;;;
